filename, Unlabeled, football-shot, game, goal, lower, top
frame_105_segment_-21-21-1-0-24-11-2023-mp4_15_30-mp4_jpg.rf.bf56ad0a2f1f893a4c34e4e2ba719e85.jpg, 1, 0, 0, 0, 0, 0
frame_270_segment_-2-1-22-07-2023-mp4_60_75-mp4_jpg.rf.c04aee22ad654dd9125cf549bb9e719d.jpg, 1, 0, 0, 0, 0, 0
frame_330_segment_-21-21-0-3-29-09-2023-mp4_0_15-mp4_jpg.rf.c13e7622029f411338bf4f6e85f9b8e7.jpg, 1, 0, 0, 0, 0, 0
frame_300_segment_-21-21-0-2-01-12-2023-mp4_45_60-mp4_jpg.rf.bf51f96ba63ada284a4497496060d536.jpg, 1, 0, 0, 0, 0, 0
frame_240_segment_-0-1-19-08-2023-mp4_45_60-mp4_jpg.rf.c120067b66c2f148373ccb7268435e16.jpg, 1, 0, 0, 0, 0, 0
frame_120_segment_-0-1-02-09-2023-mp4_0_15-mp4_jpg.rf.c0b831d4a9f4e6ae4128632049016ec5.jpg, 1, 0, 0, 0, 0, 0
frame_300_segment_LEON-4-2-2-1-1-23-10-2023-mp4_15_30-mp4_jpg.rf.c0e71dfe81794f7dc18681625ba8c666.jpg, 1, 0, 0, 0, 0, 0
frame_255_segment_-21-21-2-0-15-09-2023-mp4_15_30-mp4_jpg.rf.bff1086dee6a12fca00468a2f64ad5bf.jpg, 1, 0, 0, 0, 0, 0
frame_210_segment_FONBET-1-0-08-08-2023-mp4_45_60-mp4_jpg.rf.c085b8847fd57ed0e3405a68a5cf2c8b.jpg, 1, 0, 0, 0, 0, 0
frame_60_segment_-21-21-1-3-10-11-2023-mp4_30_45-mp4_jpg.rf.c1032822e4411e7d20367e877ed0d5fb.jpg, 1, 0, 0, 0, 0, 0
frame_60_segment_-0-1-02-09-2023-mp4_45_60-mp4_jpg.rf.bfe90f7e0e6487cbece7d37546ab6141.jpg, 1, 0, 0, 0, 0, 0
frame_330_segment_LEON-4-2-3-1-17-09-2023-mp4_15_30-mp4_jpg.rf.bf3857526356bcdc53870eda2724b866.jpg, 1, 0, 0, 0, 0, 0
frame_30_segment_-21-21-0-6-20-10-2023-mp4_45_60-mp4_jpg.rf.bfef038c33a63bcdb5d425a9650e1197.jpg, 1, 0, 0, 0, 0, 0
frame_165_segment_-0-1-06-11-2023-mp4_90_105-mp4_jpg.rf.c158e435e801c13b81359a0b123b30a7.jpg, 1, 0, 0, 0, 0, 0
